size,time
1000,0.2026901500000804
2000,0.3216638530000182
3000,0.5217961759999525
4000,0.7542071039999882
5000,1.0433946690000084
6000,1.3270031250001466
7000,1.6352022030000626
8000,1.9884439879999718
9000,2.395597278999958
10000,2.7051488130000507
11000,3.1757132389998333
12000,3.5811724850000246
13000,4.2007656989999305
14000,4.710128273000009
15000,5.182167208999999
16000,5.929566029999933
17000,6.443447047000063
18000,7.120259172999795
19000,7.918194991000064
20000,8.582017250000035
21000,9.763540412000111
22000,10.27163966399985
23000,11.189669489000153
24000,12.252677092999875
25000,13.01265057400019
26000,13.900831486000016
27000,15.08453780900004
28000,16.151470993000203
29000,16.999041755999997
30000,18.345162266999978
