size,time
1000,0.5670940839999972
2000,1.3317254570000046
3000,2.4693500770000014
4000,3.5362381839999983
5000,5.023385501
6000,6.908124233999999
7000,9.359453327999994
8000,11.956800451999996
9000,14.951807958999993
10000,18.449619100999996
11000,21.30529465500001
12000,24.64891772499999
13000,28.417258911000005
14000,32.423785323999994
15000,36.78272443899999
16000,40.616087366000045
17000,46.62125252799996
18000,51.122263428
19000,60.34625456399999
20000,65.36149653500001
21000,71.84500640399995
22000,80.22653797300006
23000,86.91234216200007
24000,92.39978891199996
25000,103.89656514700005
26000,108.77336672399997
27000,119.35713417600005
28000,125.87438153800008
29000,140.32076479900002
30000,152.65738406100013
