"K","x.values","f.values"
300,0.00411735760742271,-47.4320271547341
300,0.0275982164758759,-47.4290075636744
300,0.0626268907237781,-47.4294168604865
300,0.0814760650194457,-47.4238763544138
300,0.103086673710286,-47.4120068642374
300,0.116720873917356,-47.3903605910069
300,0.129829181796015,-47.2955260378699
300,0.170487614082342,-47.1743750632598
300,0.184683305318205,-47.1730718202192
300,0.2228971481318,-47.1856076270473
300,0.238047326023026,-47.1121779280558
300,0.262396351370598,-47.0841220795483
300,0.318299490329557,-47.1649613207381
300,0.353983672166517,-47.12522240768
300,0.371753235469851,-47.1759876883356
300,0.402627102893783,-47.0948204738121
300,0.426270736282133,-47.0192198137697
300,0.454087292994446,-46.9998915266383
300,0.472797525633325,-46.83322465474
300,0.493361750236652,-46.8699579111957
300,0.544584135608008,-46.5481128702549
300,0.568019045788549,-46.558007165046
300,0.588661952422025,-46.230284863575
300,0.615601953247561,-46.1372073138998
300,0.682285613551342,-46.1106892313547
300,0.705626422083071,-46.0335312395719
300,0.748046287031048,-46.1674278933947
300,0.784477779399338,-46.1079915411782
300,0.804965029701252,-45.8727246397269
300,0.841542979904982,-45.8021944901028
300,0.874617277760918,-45.6184638651516
300,0.89074202322639,-45.3691918475941
300,0.92268900102764,-45.3060857404068
300,0.945420954028253,-45.2677236411586
300,1.00360202860028,-44.7169604219384
300,1.05973085946588,-44.5572849521424
300,1.07833034116884,-44.606869783192
300,1.11701551961315,-44.5925920548353
300,1.14012373589464,-44.3535112006311
300,1.16832166891955,-43.9155256116713
300,1.20190087470333,-43.5112834355045
300,1.23454993195227,-43.4309037763678
300,1.2542786923058,-42.7550179173349
300,1.26389915591735,-42.7603520577449
300,1.36612119168297,-41.619028985911
300,1.40958442809813,-41.6993063288199
300,1.45266923254037,-41.9304698336698
300,1.52290730773477,-41.0343842173381
300,1.54174009562982,-41.0626149679206
300,1.56552639578662,-40.4545096090063
300,1.607641410965,-39.7659539708665
300,1.63372647870411,-39.7923892022662
300,1.66405081063849,-39.9446972818721
300,1.67961198901295,-39.0426725852879
300,1.69773566798313,-39.0760170116117
300,1.72090041801139,-40.157421539934
300,1.76542084324319,-40.0629292197314
300,1.7934213105169,-40.1754472668033
300,1.80597584793654,-40.0290074649799
300,1.85862621188868,-40.0369474648531
300,1.86760818659861,-39.9922135982323
300,1.93740110276177,-38.6379314130211
300,1.9639736412492,-37.4668461118433
300,2.00779566201122,-37.0486207743686
300,2.05313941865659,-37.2070548270171
300,2.09074114549531,-37.3309882587654
300,2.14673739744725,-37.0382156072741
300,2.21147673558261,-35.9695953630306
300,2.26251760883663,-35.8795187549609
300,2.28741713501563,-35.860164704862
300,2.29582562241516,-36.3531026245356
300,2.36168381552202,-36.1214232759379
300,2.42480053487946,-34.1984373461246
300,2.44823202009766,-33.9575546950981
300,2.45256331953988,-34.3629344295078
300,2.48232142607146,-33.989256410017
300,2.49692144717918,-33.8407204021123
300,2.53107375715723,-33.3282643927721
300,2.59355539556514,-32.6819628764947
300,2.61953571753449,-32.6318566957949
300,2.66601023893857,-32.5558590514306
300,2.70337225177938,-32.7659553108289
300,2.78033231925076,-29.9072758662159
300,2.80669828663259,-29.8639397221848
300,2.85515983949029,-29.3962875450481
300,2.88419494271522,-27.5977574677562
300,2.90907256388801,-27.1702644383224
300,2.96366761672636,-27.063083129133
300,2.98255515267111,-27.063083129133
300,3.0138549911774,-27.265815228761
300,3.03261891868408,-26.1164886452314
300,3.07439444705227,-26.3687459277525
300,3.08390001089417,-26.3687459277525
300,3.14269881318159,-26.2049711434077
300,3.18491009366562,-24.9370279953979
300,3.1973965122751,-24.7930026250714
300,3.23421879323935,-25.3166591699157
300,3.25574637055139,-25.1460840594132
300,3.27444961954469,-24.5257541698337
300,3.29171131877275,-24.1693652978168
300,3.34370999470647,-22.0130142285353
300,3.37903743640279,-22.3024974502391
300,3.44223201933832,-20.029410393843
300,3.5248093063127,-17.4180073941464
300,3.55549579840623,-18.0862457182214
300,3.60598819583568,-17.5879184846191
300,3.63160395134298,-17.7304980140444
300,3.65674292839865,-17.6399674545517
300,3.73582379979044,-17.5017528748912
300,3.80178050413621,-16.2005735122929
300,3.85398405097481,-16.0832833996417
300,3.87962910122417,-16.0610729811894
300,3.90647709912773,-16.0852810905916
300,3.96572626589591,-16.5772461333467
300,3.99933176928696,-16.4664796208938
300,4.03410439873858,-15.0846426101485
300,4.06347775740927,-14.6761112813583
300,4.1213056186297,-14.8124490180236
300,4.12816488011644,-15.51250226113
300,4.13829508921202,-15.1449662322015
300,4.17948638376979,-14.5400764195196
300,4.2308405613483,-13.8450838824176
300,4.26269894101679,-13.9162051607902
300,4.28183282738603,-13.4615724437047
300,4.30180792346936,-12.2244477699634
300,4.31570028957385,-10.9072315253601
300,4.39278200535224,-9.8925321019019
300,4.39992201353214,-10.1872720452133
300,4.43855898955136,-10.3244321315853
300,4.47254326841849,-11.280922233606
300,4.51963974715164,-10.1000578482007
300,4.52592051563126,-10.5663403565913
300,4.56533598000303,-10.4253343429374
300,4.58084936948196,-10.4841500672879
300,4.59562653253459,-10.830047193636
300,4.62838339706705,-10.8670652335906
300,4.67736334852531,-10.1998148653197
300,4.70687890236726,-10.2860026888095
300,4.72119060099348,-12.5342383253639
300,4.74368802434906,-11.2736363823584
300,4.78292571074573,-10.0081865997716
300,4.84154389021296,-8.33956233709518
300,4.88572210901421,-7.08773763078954
300,4.93036305579917,-7.45299037776887
300,4.96406366023748,-9.20922559966004
300,5.00567817267659,-9.63581454063139
300,5.04573327070044,-8.73845686097157
300,5.07726670918233,-6.62994350584432
300,5.12650948044492,-6.90006726791044
300,5.13771603704872,-6.22766934752086
300,5.17091448984844,-6.51322040565798
300,5.20095578919634,-4.10505952067993
300,5.25001452460116,-4.63422745030867
300,5.28841822802076,-4.56409628055646
300,5.34423849301473,-4.19717659564645
300,5.38967375897124,-5.23701843187452
300,5.40429868699373,-5.95526022505436
300,5.42488341679973,-5.37953966046806
300,5.44052243174469,-5.19142445212449
300,5.45791812081204,-4.83094854107082
300,5.49625275445603,-5.19549374430382
300,5.5400955941218,-4.93192191747887
300,5.5613065382206,-4.15759109933743
300,5.58228318501284,-3.38379641209643
300,5.61806423328918,-4.28477871317497
300,5.6352538273655,-3.8772654119277
300,5.68421699056421,-3.90410855330235
300,5.71461746722344,-3.26013217929052
300,5.74262201970058,-3.15315944203134
300,5.75958454480036,-1.18498046985237
300,5.79939127941498,1.5495183626354
300,5.81384335260992,2.00542251349241
300,5.87677729413445,1.45991907237332
300,5.91817631885945,2.34107320627556
300,5.92767699610249,1.58507151888395
300,5.96184679192516,1.42296311168875
300,5.96761466511479,1.71998236454564
300,6.01506835787518,11.9776401484026
300,6.01855018083516,12.7569359338174
300,6.0294292091751,13.4533563797055
300,6.06823976801899,13.7521545225474
300,6.07818655340131,14.8588501865129
300,6.12225991652012,14.8025951697014
300,6.15084500355173,20.0180881759686
300,6.1937847607061,20.8101153429226
300,6.2015756052315,20.8101153429226
300,6.2187758927429,21.1731131416264
300,6.24776538686078,20.2510696622462
300,6.29723436279906,20.5512181636264
300,6.31393279592056,19.3416269233111
300,6.37433546892452,18.3787932115466
300,6.38743995207579,17.6944388772032
300,6.44737695691227,16.8053215968853
300,6.47112020366978,15.8361307855833
300,6.49300845439978,15.8417743744602
300,6.50445729560901,16.0133419265208
300,6.5443088174611,15.9723600579873
300,6.5470031342502,16.1365864178617
300,6.56112735714111,15.717225317947
300,6.60060179738911,17.9329205545653
300,6.61250543820834,17.2631896884652
300,6.62792911443561,17.178520316817
300,6.68746722231907,16.4599133052102
300,6.71969696099253,17.2404125931975
300,6.74249571504561,17.4936921826429
300,6.76588748937194,18.5689404265251
300,6.83686272459971,20.1389352209629
300,6.87753602023201,21.5577816101808
300,6.91172255494416,22.376921248708
300,6.91744669177508,22.9828637874828
300,6.93365049913535,23.9366490584816
300,7.02129220833285,26.3718235237213
300,7.03634819825711,29.5032792338039
300,7.07796383940207,29.1931065230372
300,7.18206171616626,30.0730788802207
300,7.19585838156215,30.2526872066966
300,7.219642169141,30.5365332679414
300,7.26637898887087,28.7258415290161
300,7.27019014875994,28.4978524653948
300,7.32011839436679,27.1880187417627
300,7.35240662690553,29.7497674310634
300,7.35929745410565,31.6057387914026
300,7.37154037055955,32.9229505506479
300,7.41893920268239,32.7717900119805
300,7.44691370436389,33.1351328701379
300,7.48208635185515,31.2345339391968
300,7.53676530236029,34.303267240197
300,7.54433482245689,33.6012903723634
300,7.57604195522808,34.5355096077641
300,7.6414937947138,35.3059813364038
300,7.70352273340888,31.5574851813379
300,7.73762582066579,33.8207053060748
300,7.75910325652325,32.7819786822783
300,7.79230373035502,30.6284700070877
300,7.83215279871928,26.8793896918833
300,7.88841946498617,28.0006237503836
300,7.93750182529681,28.2300577580719
300,7.94798804159303,27.2247794111955
300,7.98770777737918,28.2328115626468
300,8.01458797568807,29.0755318523128
300,8.04579932368509,28.9027718568689
300,8.06339759761092,30.2235412901943
300,8.10721565026268,32.9537282403298
300,8.16396740000973,30.2366694151376
300,8.23691685154031,30.4784939874404
300,8.28843809012312,32.1226225996903
300,8.30582827433342,32.9582675434056
300,8.34168757017377,32.255151314193
300,8.37471943419821,31.6997418343061
300,8.38670672196194,32.8268763051088
300,8.39696637909176,31.1840154523717
300,8.43063112807824,27.1475185415288
300,8.44381978154336,28.3063589736228
300,8.49578753109772,29.3667617248058
300,8.50463489502301,28.494561743548
300,8.512317141314,29.1606386912619
300,8.57027239374776,32.3984059118118
300,8.61738284196776,35.5696342724383
300,8.62924935079131,35.7596342375864
300,8.67021778131267,35.6398571585374
300,8.69239408649233,38.7973432181891
300,8.74684274054523,43.9033004817071
300,8.75676515700011,47.2456319568062
300,8.78866102276215,48.0812532997926
300,8.80705869935613,46.7070011292909
300,8.85682379677158,51.1586400281623
300,8.86692595523452,58.0959652467211
300,8.87455961702647,56.7593827379448
300,8.88796751957368,55.607986433981
300,8.90884383205886,54.3599207625647
300,8.91915164392331,54.3599207625647
300,9.00142209548527,56.0786286333906
300,9.03424848674214,56.90539006098
300,9.04647645562097,57.8183942180231
300,9.07923318633171,57.4503956565095
300,9.103536415405,58.8843626106821
300,9.11513768126085,62.1556381048353
300,9.13934071535402,61.8672253400877
300,9.18404109209379,65.6903042183375
300,9.2023473465859,66.6036888456117
300,9.24659503038974,66.8312347189659
300,9.26637460888669,67.8568466485729
300,9.30186401347035,68.0006690945763
300,9.31663578168935,69.1938071014165
300,9.34575186785246,68.2650831791138
300,9.40872527699711,71.3444044119815
300,9.42373141308376,70.1112139639929
300,9.45561958041182,70.4923918174511
300,9.4748702859018,70.5974248653078
300,9.49884099087296,70.4007072278518
300,9.5752541724873,69.7386608602865
300,9.65323760980036,71.4006511254767
300,9.67306680263984,67.6692176399492
300,9.69860073590518,68.7544906281004
300,9.73185113454873,68.3293004265673
300,9.79568517655524,67.1335917092394
300,9.83391192379294,66.8966817832919
300,9.84704024494656,69.8138094811647
300,9.89663700420896,73.7728445927696
300,9.97310881358617,76.3916232014954
300,9.98659696578368,75.1991291233931
