"K","x.values","f.values"
41,1960,-18854.955634033
41,1967,-18787.4764673663
41,1969,-18404.2659410505
41,1971,-18438.0931015443
41,1973,-17682.509768211
41,1974,-14795.9231015443
41,1975,-14226.9132976228
41,1976,-14042.7363428903
41,1977,-13862.5048614088
41,1978,-13665.092580707
41,1979,-13502.5415602989
41,1980,-12788.8426515687
41,1981,-12092.2487818369
41,1982,-10843.3061295072
41,1983,-10098.9774258035
41,1984,-9867.88563836384
41,1985,-9569.21731332238
41,1986,-9340.2818536039
41,1987,-9425.83039729322
41,1988,-8914.76887295897
41,1989,-8528.95205614215
41,1990,-8336.78333186232
41,1991,-7879.18310276725
41,1992,-7525.62856657968
41,1993,-7306.06001557253
41,1994,-7051.61557112809
41,1995,-6814.30807227121
41,1996,-6102.19824197982
41,1997,-5182.11437954596
41,1998,-4441.43768376477
41,1999,-3535.35923188192
41,2000,-2894.21577196631
41,2001,-245.606042657917
41,2002,1343.4663803223
41,2003,2710.47357522212
41,2004,4100.63632635489
41,2005,6273.56741655096
41,2006,10337.0496968584
41,2007,12383.8327897247
41,2008,16388.9136281006
41,2009,22195.1650665926
41,2011,32018.254947545
