"K","x.values","f.values"
100,1,-0.925431477001816
100,4,-0.923916697537145
100,8,-0.39668319678971
100,11,-0.546154220611594
100,15,-0.279013401987339
100,19,0.724544268611694
100,22,0.754045457042164
100,26,2.05876655420823
100,30,1.76889374747548
100,33,1.96138893005466
100,37,2.47320880231537
100,41,1.74628285814685
100,44,3.24018538902774
100,48,1.89666102530143
100,52,0.268604563747254
100,55,0.0647187744631976
100,59,0.631587277904835
100,63,-0.263137078030303
100,66,2.35901814808983
100,70,3.8840103065294
100,73,6.37390028006666
100,77,4.26134499856227
100,81,4.07940230171422
100,84,5.58979254780582
100,88,5.61889834599233
100,92,6.16814224241531
100,95,5.19834886500241
100,99,7.10916049711131
100,103,5.78882046600394
100,106,5.47577483290614
100,110,3.49534819549793
100,114,3.54240304553213
100,117,3.43460843576537
100,121,3.40341069476559
100,125,5.06152094279123
100,128,5.229407837224
100,132,4.78446306111288
100,136,4.91976519600775
100,139,5.97522434776405
100,143,6.31851756008729
100,146,5.94128541171688
100,150,5.59419654811992
100,154,5.59421914133945
100,157,5.49022871278243
100,161,5.24395699728905
100,165,4.34899036700175
100,168,4.58421314081765
100,172,3.95287763099847
100,176,3.7832919242327
100,179,3.31084589258491
100,183,3.13335981341058
100,187,2.84004807975382
100,190,2.45336642247499
100,194,2.16159650576546
100,198,1.59759265083101
100,201,0.686524562028452
100,205,0.593677114889373
100,209,0.487116250366349
100,212,0.101752039703386
100,216,-1.2027686398537
100,219,-2.31115331136106
100,223,-1.8192409086082
100,227,-2.40891403766249
100,230,-3.61153841588221
100,234,-5.01503435609032
100,238,-4.60852814490098
100,241,-3.71139365563972
100,245,-4.15022073264312
100,249,-4.8446688486144
100,252,-5.8160408705606
100,256,-4.02310918520805
100,260,-5.04085092000684
100,263,-4.13127240896786
100,267,-6.31891625780081
100,271,-6.74034803368534
100,274,-7.23526745091879
100,278,-8.52910434497569
100,282,-7.40543324625826
100,285,-7.20613099038867
100,289,-5.35126191808416
100,292,-4.73477199213238
100,296,-5.93429582406515
100,300,-6.02132980734025
100,303,-3.67526838419248
100,307,-3.28610888449229
100,311,-4.45465682040164
100,314,-3.59778857482402
100,318,-2.21233947956184
100,322,-3.28926113704033
100,325,-3.83842246268429
100,329,-4.31523910418847
100,333,-4.35098955655353
100,336,-4.19804798460029
100,340,-4.44026649867895
100,344,-4.44577122027897
100,347,-3.69451571343176
100,351,-4.14875601532926
100,355,-4.01066297017742
100,358,-3.65400117539327
100,362,-3.49739033789883
100,365,-3.46683332393857
