"K","x.values","f.values"
200,40.5712,-209.754589227217
200,40.621,-224.587064075702
200,40.6402,-233.971565742368
200,40.6551,-210.895177409035
200,40.6664,-171.559512376355
200,40.6706,-168.669219043022
200,40.6751,-171.670797274314
200,40.6785,-180.139829681722
200,40.6823,-184.191574246939
200,40.6859,-178.080322580272
200,40.6884,-168.466641207723
200,40.6907,-149.393383631966
200,40.6933,-151.950185483818
200,40.6961,-158.875525483818
200,40.6985,-130.111228817151
200,40.7032,-64.4868242570217
200,40.7045,-72.4909430070218
200,40.7054,-98.5375438617227
200,40.7056,-101.514986951154
200,40.7061,-95.9738605225823
200,40.7065,-105.443239358561
200,40.7067,-118.310015765487
200,40.7073,-117.937223602789
200,40.7074,-108.105772087637
200,40.7075,-107.772754803687
200,40.708,-103.889436639324
200,40.7081,-100.372345320733
200,40.7084,-93.8749365808244
200,40.7091,-88.5312547626426
200,40.71,-77.317142672352
200,40.7111,-70.3983655439249
200,40.7127,-55.0389980225575
200,40.7141,-33.0976327185742
200,40.7161,-32.2972232982841
200,40.7176,-34.7346391597978
200,40.7182,-47.3380816201153
200,40.7191,-55.8697297682636
200,40.7199,-39.0667858580071
200,40.7208,-36.6156957219528
200,40.7216,-34.2737733734679
200,40.7225,-26.204355218706
200,40.7231,-28.3609840065849
200,40.7238,-35.4795240706875
200,40.7244,-35.1971567867369
200,40.7252,-29.2203119799736
200,40.7259,-39.7576615912467
200,40.7266,-38.1882653327433
200,40.7272,-49.6983547266826
200,40.7276,-62.7846388175917
200,40.728,-70.7420122150276
200,40.7285,-68.5501348546006
200,40.7291,-63.1986327712673
200,40.7297,-64.4668549934894
200,40.7299,-64.9007929444274
200,40.7301,-65.5407545629546
200,40.7306,-58.2578532853705
200,40.7313,-52.8899715024247
200,40.7318,-47.9632980330371
200,40.7324,-40.3785801758943
200,40.7329,-28.0084085193196
200,40.7334,26.8041170007246
200,40.7341,33.4697128634524
200,40.7346,16.7420286643184
200,40.735,8.65960789256141
200,40.7358,16.1647277905206
200,40.7366,11.563524086817
200,40.7372,22.3386483558229
200,40.7376,19.8245896437017
200,40.7382,22.1249099051397
200,40.7387,11.3606156874526
200,40.739,11.5261764513416
200,40.7396,2.03935337441857
200,40.7399,2.11127733059513
200,40.7404,-7.08263753912635
200,40.7411,-6.30576849150731
200,40.7413,-2.14496026181814
200,40.7419,-2.92874016215043
200,40.7425,-4.27201567235451
200,40.7432,-4.33552709120781
200,40.7436,2.44948172140815
200,40.7437,6.41313449918601
200,40.7441,-1.42958935702302
200,40.7445,1.24309116362122
200,40.7447,-1.14754105522374
200,40.7449,-4.95829476326432
200,40.7452,-6.89399676019215
200,40.7457,-8.88728002137537
200,40.7461,-5.46268633607525
200,40.7465,-13.5282085116123
200,40.7469,-16.054550773517
200,40.7471,-19.6480153568502
200,40.7476,-12.8220848914823
200,40.748,-3.42160572481555
200,40.7485,1.47514250213487
200,40.7487,-13.3502374978651
200,40.7489,-23.657534883486
