"K","x.values","f.values"
199,-74.0873,428.703548012716
199,-74.0176,286.980394679383
199,-74.0161,277.653341107954
199,-74.0149,282.424541199529
199,-74.0148,287.506682004127
199,-74.0134,307.335522636056
199,-74.0113,316.967328684175
199,-74.0106,321.877637630784
199,-74.0099,327.233910448244
199,-74.0095,330.49692632126
199,-74.0088,310.862585677985
199,-74.0084,318.951905753742
199,-74.0076,232.441005753743
199,-74.0071,202.318153610885
199,-74.0066,204.124058822026
199,-74.0061,200.525563854494
199,-74.0059,198.274084687827
199,-74.0055,198.474127660309
199,-74.0052,179.501253236345
199,-74.0047,186.235545994435
199,-74.0046,180.992996602337
199,-74.0042,152.437728240756
199,-74.0036,153.428426455041
199,-74.0029,144.816844660419
199,-74.0024,138.96535914305
199,-74.0019,124.512540277309
199,-74.0015,114.252071141506
199,-74.0009,130.838075757639
199,-74.0002,100.672936264885
199,-73.9999,107.047073824693
199,-73.9993,119.972626205646
199,-73.9989,129.536878730898
199,-73.9983,106.163808963457
199,-73.9982,113.803884021732
199,-73.9978,111.982313188398
199,-73.9973,114.015110253736
199,-73.9968,116.988224972351
199,-73.9963,114.766437746349
199,-73.9961,120.057721912048
199,-73.9958,119.745445523159
199,-73.9955,120.640758586222
199,-73.9949,132.43732316394
199,-73.9945,136.580189830607
199,-73.9942,131.662158580607
199,-73.9938,129.241326709262
199,-73.9934,130.508749625928
199,-73.9929,129.624266782791
199,-73.9927,133.316204954834
199,-73.9922,130.386584031897
199,-73.9918,131.198042081784
199,-73.9916,130.759686149581
199,-73.9914,136.663057842702
199,-73.9909,134.073676599961
199,-73.9904,131.98065203458
199,-73.9901,128.465134347505
199,-73.99,126.392257363378
199,-73.9896,124.95022233021
199,-73.9894,123.608591522129
199,-73.9891,111.100421764803
199,-73.9887,115.905224485892
199,-73.9885,113.921577772277
199,-73.9883,116.914790137868
199,-73.9878,122.706602194606
199,-73.9875,121.770408065818
199,-73.9874,122.697141399151
199,-73.987,136.754772546692
199,-73.9867,137.346735680333
199,-73.9864,131.769144976869
